,Title,Average Score,Score Count,Game Modes
272,Blast Zone! Tournament,50.0,2,Co-operative
273,KurtzPel,50.0,2,Multiplayer
273,KurtzPel,50.0,2,Co-operative
273,KurtzPel,50.0,2,Massively Multiplayer Online (MMO)
274,Blood Waves,50.0,2,Single player
275,Forged Battalion,80.0,2,Single player
275,Forged Battalion,80.0,2,Multiplayer
275,Forged Battalion,80.0,2,Co-operative
276,Flotsam,60.0,2,Single player
277,Wasted Pizza,50.0,2,Multiplayer
278,Flashing Lights: Police Fire EMS,50.0,2,Single player
278,Flashing Lights: Police Fire EMS,50.0,2,Multiplayer
278,Flashing Lights: Police Fire EMS,50.0,2,Co-operative
279,Witch Hunt,80.0,2,Single player
280,Empires in Ruins,70.0,2,Single player
281,Dog Duty,70.0,2,Single player
282,Operation Warcade VR,72.5,2,Single player
283,Crest,60.0,2,Single player
284,The District,20.0,2,Single player
285,VR Karts,57.5,2,Single player
286,Planet Centauri,60.0,2,Single player
286,Planet Centauri,60.0,2,Multiplayer
287,Gamma Bros,70.0,2,Single player
288,Project Arrhythmia,70.0,2,Single player
288,Project Arrhythmia,70.0,2,Multiplayer
288,Project Arrhythmia,70.0,2,Co-operative
289,QuiVr,80.0,2,Single player
289,QuiVr,80.0,2,Multiplayer
289,QuiVr,80.0,2,Co-operative
290,Blasters of the Universe,70.0,2,Single player
291,Bombslinger,72.5,2,Single player
291,Bombslinger,72.5,2,Multiplayer
292,Star Explorers,50.0,2,Single player
293,Bigfoot,50.0,2,Single player
293,Bigfoot,50.0,2,Multiplayer
293,Bigfoot,50.0,2,Co-operative
294,Drunkn Bar Fight,80.0,2,Single player
294,Drunkn Bar Fight,80.0,2,Multiplayer
294,Drunkn Bar Fight,80.0,2,Co-operative
295,Brick Rigs,60.0,2,Single player
